year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2009,Sergiy Gladyr,Atlanta Hawks,MBC Mykolaiv (Ukraine),2,19,49,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2013,Shabazz Muhammad,Utah Jazz,California-Los Angeles,1,14,14,F,10.99,2.93,3.32,29.5,37.0,10,9.00,9.00,10.00,76.75,78.25,104.5,221.8,83.0,muhamsh01
2014,Shabazz Napier,Charlotte Hornets,Connecticut,1,24,24,G,11.60,3.13,3.20,30.5,37.5,8.78,7.35,8.25,8.50,71.0,73.0,93.0,175.2,75.25,napiesh01
2018,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,1,11,11,G,11.11,3.04,3.22,30.1,36.1,8.78,3.00,9.00,9.00,76.5,78.0,104.0,180.0,83.5,gilgesh01
2018,Shake Milton,Dallas Mavericks,Southern Methodist,2,24,54,G,11.07,3.19,3.25,30.0,33.0,2,6.80,8.75,9.50,76.5,77.5,99.5,207.2,84.75,miltosh01
2008,Shan Foster,Dallas Mavericks,Vanderbilt,2,21,51,G,12.30,3.04,3.24,30.0,33.0,10,6.30,8.46,9.1,76.0,77.25,103.5,194.5,83.5,
2001,Shane Battier,Memphis Grizzlies,Duke,1,6,6,F,10.95,3.1,3.30,29.5,33.0,12,9.30,8.95,9.59,80.25,80.81,105.0,229.0,82.5,battish01
2013,Shane Larkin,Atlanta Hawks,Miami (FL),1,18,18,G,10.64,3.03,3.08,34.5,44.0,12,3.80,7.50,8.75,70.25,71.5,89.5,170.8,70.75,larkish01
2006,Shannon Brown,Cleveland Cavaliers,Michigan State,1,25,25,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,brownsh01
2004,Shaun Livingston,Los Angeles Clippers,Peoria,1,4,4,G,10.72,3.04,3.23,26.5,30.0,8.78,6.70,8.46,9.1,78.25,79.5,105.5,186.0,83.0,livinsh01
2006,Shawne Williams,Indiana Pacers,Memphis,1,17,17,F,10.69,3.1,3.30,32.0,31.0,11.36,8.00,8.95,9.59,79.25,80.75,104.0,227.0,87.0,willish03
2006,Shelden Williams,Atlanta Hawks,Duke,1,5,5,F,11.53,3.1,3.59,29.0,33.5,25,11.40,8.95,9.59,79.5,80.5,104.0,258.0,88.25,willish02
2011,Shelvin Mack,Washington Wizards,Butler,2,4,34,G,11.23,3.04,3.18,32.0,39.0,17,7.10,8.25,9.25,73.0,74.5,96.5,209.0,79.5,macksh01
2017,Sindarius Thornwell,Milwaukee Bucks,South Carolina,2,18,48,G,11.48,3.03,3.36,27.0,30.5,15,7.80,8.75,8.75,75.5,76.75,103.0,211.6,82.0,thornsi01
2015,Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2,23,53,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2016,Skal Labissiere,Sacramento Kings,Kentucky,1,28,28,F,11.46,3.1,3.3,29.41,34.23,11.36,5.70,8.75,9.00,82.5,83.75,105.5,215.8,86.5,
2003,Slavko Vranes,New York Knicks,KK Buducnost Podgorica (Montenegro),2,10,39,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
