season,player_name,pro_id,cbb_id
2007,Rudy Fernández,fernaru01,rudy-fernandez-1
2007,Morris Almond,almonmo01,morris-almond-1
2007,Aaron Brooks,brookaa01,aaron-brooks-1
2007,Arron Afflalo,afflaar01,arron-afflalo-1
2007,Tiago Splitter,splitti01,
2007,Alando Tucker,tuckeal02,alando-tucker-1
2007,Petteri Koponen,koponpe01,
2007,Carl Landry,landrca01,carl-landry-1
2007,Gabe Pruitt,pruitga01,gabe-pruitt-1
2007,Marcus Williams,willima04,marcus-williams-2
2007,Nick Fazekas,fazekni01,nick-fazekas-1
2007,Glen Davis,davisgl01,glen-davis-1
2007,Jermareo Davidson,davidje01,jermareo-davidson-1
2007,Josh McRoberts,mcrobjo01,josh-mcroberts-1
2007,Kyrylo Fesenko,fesenky01,
2007,Stanko Barać,baracst01,
2007,Sun Yue,yuesu01,
2007,Chris Richard,richach01,chris-richard-1
2007,Derrick Byars,byarsde01,derrick-byars-1
2007,Stéphane Lasme,lasmest01,stephane-lasme-1
2007,Dominic McGuire,mcguido01,dominic-mcguire-1
2007,Marc Gasol,gasolma01,
2007,Aaron Gray,grayaa01,aaron-gray-1
2007,Renaldas Seibutis,seibure01,
2007,JamesOn Curry,curryja01,jameson-curry-1
2007,Taurean Green,greenta01,taurean-green-1
2007,Demetris Nichols,nichode01,demetris-nichols-1
2007,Brad Newley,newlebr01,
2007,Ramon Sessions,sessira01,ramon-sessions-1
2007,Georgios Printezis,printgi01,
2007,D.J. Strawberry,strawdj01,dj-strawberry-1
2007,Milovan Raković,rakovmi01,
2008,Derrick Rose,rosede01,derrick-rose-1
2008,Michael Beasley,beaslmi01,michael-beasley-1
2008,O.J. Mayo,mayooj01,oj-mayo-1
2008,Russell Westbrook,westbru01,russell-westbrook-1
2008,Kevin Love,loveke01,kevin-love-1
2008,Danilo Gallinari,gallida01,
2008,Eric Gordon,gordoer01,eric-gordon-1
2008,Joe Alexander,alexajo01,joe-alexander-1
2008,D.J. Augustin,augusdj01,dj-augustin-1
2008,Brook Lopez,lopezbr01,brook-lopez-1
2008,Jerryd Bayless,bayleje01,jerryd-bayless-1
2008,Jason Thompson,thompja02,jason-thompson-1
2008,Brandon Rush,rushbr01,brandon-rush-1
2008,Anthony Randolph,randoan01,anthony-randolph-1
2008,Robin Lopez,lopezro01,robin-lopez-1
